OnDemand,$0.203 per Dedicated RHEL c1.medium Instance Hour,01/08/2018,0,Inf,Hrs,0.203,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c1.medium,No,Compute optimized,2,Intel Xeon Family,,1.7 GiB,1 x 350,Moderate,32-bit or 64-bit,,,,,,,,Dedicated,,RHEL,No License required,,,,,,,,DedicatedUsage:c1.medium,RunInstances:0010,Used,,5,,,,,,,,,,,,,,,,,,2,,NA,Amazon Elastic Compute Cloud
OnDemand,$0.231 per Dedicated Windows c1.medium Instance Hour,01/08/2018,0,Inf,Hrs,0.231,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c1.medium,No,Compute optimized,2,Intel Xeon Family,,1.7 GiB,1 x 350,Moderate,32-bit or 64-bit,,,,,,,,Dedicated,,Windows,No License required,,,,,,,,DedicatedUsage:c1.medium,RunInstances:0002,Used,,5,,,,,,,,,,,,,,,,,,2,,NA,Amazon Elastic Compute Cloud
OnDemand,$0.143 per Dedicated Linux c1.medium Instance Hour,01/08/2018,0,Inf,Hrs,0.143,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c1.medium,No,Compute optimized,2,Intel Xeon Family,,1.7 GiB,1 x 350,Moderate,32-bit or 64-bit,,,,,,,,Dedicated,,Linux,No License required,,,,,,,,DedicatedUsage:c1.medium,RunInstances,Used,,5,,,,,,,,,,,,,,,,,,2,,NA,Amazon Elastic Compute Cloud
OnDemand,$0.243 per Dedicated SUSE c1.medium Instance Hour,01/08/2018,0,Inf,Hrs,0.243,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c1.medium,No,Compute optimized,2,Intel Xeon Family,,1.7 GiB,1 x 350,Moderate,32-bit or 64-bit,,,,,,,,Dedicated,,SUSE,No License required,,,,,,,,DedicatedUsage:c1.medium,RunInstances:000g,Used,,5,,,,,,,,,,,,,,,,,,2,,NA,Amazon Elastic Compute Cloud
OnDemand,$0.924 per Dedicated Windows c1.xlarge Instance Hour,01/08/2018,0,Inf,Hrs,0.924,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c1.xlarge,No,Compute optimized,8,Intel Xeon Family,,7 GiB,4 x 420,High,64-bit,,,,,,,,Dedicated,,Windows,No License required,,,,,,,,DedicatedUsage:c1.xlarge,RunInstances:0002,Used,,20,,,,,,,,,,,,,,,,,,8,,NA,Amazon Elastic Compute Cloud
OnDemand,$0.702 per Dedicated RHEL c1.xlarge Instance Hour,01/08/2018,0,Inf,Hrs,0.702,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c1.xlarge,No,Compute optimized,8,Intel Xeon Family,,7 GiB,4 x 420,High,64-bit,,,,,,,,Dedicated,,RHEL,No License required,,,,,,,,DedicatedUsage:c1.xlarge,RunInstances:0010,Used,,20,,,,,,,,,,,,,,,,,,8,,NA,Amazon Elastic Compute Cloud
OnDemand,$0.572 per Dedicated Linux c1.xlarge Instance Hour,01/08/2018,0,Inf,Hrs,0.572,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c1.xlarge,No,Compute optimized,8,Intel Xeon Family,,7 GiB,4 x 420,High,64-bit,,,,,,,,Dedicated,,Linux,No License required,,,,,,,,DedicatedUsage:c1.xlarge,RunInstances,Used,,20,,,,,,,,,,,,,,,,,,8,,NA,Amazon Elastic Compute Cloud
OnDemand,$0.672 per Dedicated SUSE c1.xlarge Instance Hour,01/08/2018,0,Inf,Hrs,0.672,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c1.xlarge,No,Compute optimized,8,Intel Xeon Family,,7 GiB,4 x 420,High,64-bit,,,,,,,,Dedicated,,SUSE,No License required,,,,,,,,DedicatedUsage:c1.xlarge,RunInstances:000g,Used,,20,,,,,,,,,,,,,,,,,,8,,NA,Amazon Elastic Compute Cloud
OnDemand,$0.592 per Dedicated RHEL c3.2xlarge Instance Hour,01/08/2018,0,Inf,Hrs,0.592,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c3.2xlarge,No,Compute optimized,8,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8 GHz,15 GiB,2 x 80 SSD,High,64-bit,,,,,,,,Dedicated,,RHEL,No License required,,,,,,,,DedicatedUsage:c3.2xlarge,RunInstances:0010,Used,,28,,Yes,,,,,,,,,,,,,,,,16,,NA,Amazon Elastic Compute Cloud
OnDemand,$0.462 per Dedicated Linux c3.2xlarge Instance Hour,01/08/2018,0,Inf,Hrs,0.462,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c3.2xlarge,No,Compute optimized,8,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8 GHz,15 GiB,2 x 80 SSD,High,64-bit,,,,,,,,Dedicated,,Linux,No License required,,,,,,,,DedicatedUsage:c3.2xlarge,RunInstances,Used,,28,,Yes,,,,,,,,,,,,,,,,16,,NA,Amazon Elastic Compute Cloud
